סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
3713      ,נעמ"ה                    ,75        ,ירדן )יריחו(             ,11        ,ירושלים                  ,75        ,ערבות הירדן              ,199       ,34        ,20        ,95        ,5         ,36        ,9
3715      ,עלמון                    ,74        ,ראמאללה                  ,11        ,ירושלים                  ,73        ,מטה בנימין               ,1534      ,162       ,380       ,606       ,164       ,117       ,105
3717      ,חרמש                     ,71        ,ג'נין                    ,32        ,חדרה                     ,72        ,שומרון                   ,278       ,15        ,58        ,91        ,40        ,41        ,33
3719      ,תלם                      ,77        ,חברון                    ,11        ,ירושלים                  ,78        ,הר חברון                 ,469       ,97        ,167       ,157       ,25        ,19        ,4
3720      ,שערי תקווה               ,73        ,טול כרם                  ,42        ,פתח תקוה                 ,72        ,שומרון                   ,5990      ,547       ,1533      ,2156      ,704       ,467       ,583
3722      ,אשכולות                  ,77        ,חברון                    ,11        ,ירושלים                  ,78        ,הר חברון                 ,593       ,63        ,173       ,225       ,84        ,29        ,19
3723      ,פני חבר                  ,77        ,חברון                    ,11        ,ירושלים                  ,78        ,הר חברון                 ,519       ,90        ,200       ,160       ,43        ,17        ,9
3724      ,נגוהות                   ,77        ,חברון                    ,11        ,ירושלים                  ,78        ,הר חברון                 ,375       ,72        ,162       ,123       ,16        ,2         ,0
3725      ,נווה דניאל               ,76        ,בית לחם                  ,11        ,ירושלים                  ,76        ,גוש עציון                ,2656      ,277       ,841       ,981       ,266       ,159       ,132
3726      ,נוקדים                   ,76        ,בית לחם                  ,11        ,ירושלים                  ,76        ,גוש עציון                ,2271      ,421       ,644       ,860       ,172       ,87        ,87
3727      ,עלי זהב                  ,73        ,טול כרם                  ,48        ,אריאל                    ,72        ,שומרון                   ,3906      ,947       ,1327      ,1432      ,97        ,56        ,47
3730      ,גבעת זאב                 ,74        ,ראמאללה                  ,11        ,ירושלים                  ,0         ,                         ,20010     ,2982      ,5341      ,7321      ,1380      ,1336      ,1650
3743      ,טנא                      ,77        ,חברון                    ,62        ,באר שבע                  ,78        ,הר חברון                 ,973       ,160       ,312       ,351       ,67        ,51        ,32
3744      ,ברוכין                   ,73        ,טול כרם                  ,48        ,אריאל                    ,72        ,שומרון                   ,1233      ,249       ,538       ,415       ,27        ,1         ,3
3745      ,מצדות יהודה              ,77        ,חברון                    ,11        ,ירושלים                  ,78        ,הר חברון                 ,608       ,107       ,172       ,234       ,23        ,42        ,30
3746      ,קרית נטפים               ,73        ,טול כרם                  ,48        ,אריאל                    ,72        ,שומרון                   ,913       ,161       ,338       ,315       ,56        ,21        ,22
3747      ,דולב                     ,74        ,ראמאללה                  ,11        ,ירושלים                  ,73        ,מטה בנימין               ,1540      ,233       ,451       ,602       ,109       ,100       ,45
