סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
0         ,לא רשום                  ,0         ,לא ידוע                  ,0         ,                         ,0         ,                         ,19089     ,914       ,525       ,906       ,628       ,677       ,15439
7         ,שחר                      ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,788       ,58        ,207       ,266       ,101       ,64        ,92
10        ,תירוש                    ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,455       ,40        ,80        ,163       ,58        ,53        ,61
11        ,ניר ח"ן                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,601       ,42        ,147       ,190       ,75        ,56        ,91
13        ,חצבה                     ,62        ,באר שבע                  ,63        ,אילת                     ,54        ,הערבה התיכונה            ,710       ,66        ,176       ,217       ,73        ,40        ,138
15        ,נועם                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,456       ,35        ,106       ,161       ,53        ,38        ,63
16        ,בית ניר                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,685       ,39        ,204       ,200       ,117       ,49        ,76
18        ,שדה משה                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,625       ,70        ,157       ,206       ,66        ,58        ,68
21        ,באר אורה                 ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,1066      ,69        ,392       ,334       ,186       ,50        ,35
22        ,מקווה ישראל              ,53        ,חולון                    ,53        ,חולון                    ,0         ,                         ,210       ,16        ,35        ,74        ,31        ,17        ,37
23        ,אמציה                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,290       ,39        ,67        ,117       ,18        ,19        ,30
24        ,לכיש                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,828       ,41        ,202       ,265       ,159       ,63        ,98
26        ,ראש פינה                 ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,3365      ,260       ,654       ,1142      ,426       ,324       ,559
27        ,שדות מיכה                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,391       ,28        ,100       ,128       ,38        ,47        ,50
28        ,מזכרת בתיה               ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,16199     ,1334      ,4339      ,5506      ,2257      ,1238      ,1525
29        ,יסוד המעלה               ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,1750      ,132       ,355       ,621       ,239       ,166       ,237
31        ,אופקים                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,34082     ,4575      ,7526      ,12785     ,3029      ,2664      ,3503
32        ,עוצם                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,620       ,74        ,123       ,209       ,64        ,74        ,76
33        ,בת שלמה                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,679       ,55        ,177       ,249       ,79        ,56        ,63
35        ,גדות                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,504       ,48        ,78        ,176       ,51        ,43        ,108
36        ,שדה דוד                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,649       ,78        ,153       ,238       ,63        ,37        ,80
37        ,איתן                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,516       ,54        ,115       ,197       ,52        ,48        ,50
38        ,כרי דשא                  ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,4         ,0         ,0         ,0         ,1         ,1         ,2
39        ,גפן                      ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,387       ,40        ,84        ,138       ,31        ,43        ,51
41        ,אליכין                   ,41        ,השרון                    ,32        ,חדרה                     ,0         ,                         ,3698      ,304       ,796       ,1250      ,467       ,398       ,483
43        ,מטולה                    ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,1764      ,100       ,232       ,768       ,193       ,189       ,282
44        ,זוהר                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,378       ,39        ,76        ,145       ,29        ,38        ,51
46        ,יבנאל                    ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,4388      ,546       ,1369      ,1415      ,343       ,338       ,377
47        ,כפר תבור                 ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,4762      ,345       ,1144      ,1577      ,632       ,483       ,581
48        ,מנחמיה                   ,22        ,כנרת                     ,22        ,טבריה                    ,7         ,עמק המעיינות             ,1224      ,107       ,194       ,432       ,147       ,142       ,202
49        ,אילניה                   ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,602       ,29        ,108       ,228       ,90        ,66        ,81
52        ,לוזית                    ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,801       ,90        ,248       ,269       ,98        ,58        ,38
53        ,עתלית                    ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,9229      ,1069      ,2143      ,3198      ,1005      ,701       ,1113
55        ,נוגה                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,601       ,58        ,131       ,202       ,67        ,44        ,99
57        ,כנרת )קבוצה(             ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,849       ,59        ,152       ,294       ,93        ,75        ,176
58        ,מצפה                     ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,160       ,15        ,16        ,57        ,17        ,19        ,36
59        ,נחושה                    ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,1567      ,148       ,647       ,530       ,157       ,46        ,39
62        ,דגניה א'                 ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,676       ,53        ,98        ,234       ,76        ,60        ,155
63        ,כנרת )מושבה(             ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,677       ,37        ,111       ,245       ,89        ,91        ,104
64        ,יד רמב"ם                 ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1244      ,112       ,277       ,447       ,150       ,107       ,151
65        ,מגדל                     ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,2058      ,198       ,444       ,739       ,205       ,235       ,237
66        ,מרחביה )קיבוץ(           ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1355      ,89        ,327       ,425       ,196       ,100       ,218
67        ,אור הנר                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,935       ,97        ,204       ,348       ,105       ,67        ,114
69        ,ניר עוז                  ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,487       ,55        ,94        ,155       ,52        ,30        ,101
70        ,אשדוד                    ,61        ,אשקלון                   ,69        ,אשדוד                    ,0         ,                         ,254771    ,22444     ,51462     ,85490     ,28829     ,23559     ,42987
71        ,אשבול                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,42        ,מרחבים                   ,676       ,58        ,196       ,237       ,80        ,40        ,65
72        ,גן שמואל                 ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,1223      ,101       ,196       ,380       ,155       ,115       ,276
74        ,עין הוד                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,680       ,38        ,135       ,212       ,110       ,76        ,109
76        ,כפר גלעדי                ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,744       ,42        ,128       ,231       ,120       ,47        ,176
77        ,איילת השחר               ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,1145      ,71        ,239       ,359       ,159       ,87        ,230
78        ,קרית ענבים               ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,393       ,23        ,62        ,120       ,68        ,42        ,78
79        ,דגניה ב'                 ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,807       ,51        ,171       ,244       ,121       ,62        ,158
80        ,נהלל                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1072      ,110       ,221       ,384       ,96        ,99        ,162
82        ,עין חרוד )מאוחד(         ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,928       ,52        ,178       ,311       ,107       ,71        ,209
84        ,תל יוסף                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,565       ,47        ,146       ,167       ,59        ,38        ,108
85        ,כפר יחזקאל               ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1131      ,102       ,302       ,398       ,128       ,63        ,138
86        ,גבע                      ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,709       ,52        ,120       ,237       ,85        ,73        ,142
88        ,כרם בן שמן               ,43        ,רמלה                     ,43        ,רמלה                     ,25        ,חבל מודיעין              ,89        ,12        ,19        ,24        ,8         ,5         ,21
89        ,עין חרוד )איחוד(         ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,750       ,56        ,131       ,228       ,89        ,70        ,176
90        ,חפצי-בה                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,846       ,65        ,179       ,272       ,96        ,74        ,160
92        ,גיניגר                   ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,806       ,63        ,165       ,257       ,94        ,87        ,140
94        ,בלפוריה                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,585       ,50        ,139       ,208       ,67        ,38        ,83
95        ,בית אלפא                 ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1151      ,81        ,210       ,401       ,108       ,96        ,255
96        ,יגור                     ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,1867      ,152       ,313       ,713       ,225       ,126       ,338
97        ,מרחביה )מושב(            ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,773       ,45        ,155       ,272       ,99        ,88        ,114
98        ,כפר מל"ל                 ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,376       ,33        ,64        ,112       ,49        ,34        ,84
99        ,מצפה רמון                ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,5606      ,596       ,1190      ,2190      ,545       ,430       ,655
102       ,מאיר שפיה                ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,161       ,11        ,38        ,57        ,13        ,18        ,24
103       ,תל עדשים                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1332      ,100       ,387       ,422       ,217       ,102       ,104
104       ,מזרע                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,954       ,92        ,144       ,302       ,99        ,96        ,221
106       ,כפר גדעון                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,325       ,43        ,100       ,109       ,19        ,18        ,36
107       ,כפר סילבר                ,61        ,אשקלון                   ,61        ,אשקלון                   ,36        ,חוף אשקלון               ,144       ,10        ,29        ,69        ,16        ,13        ,7
112       ,כפר חסידים א'            ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,794       ,79        ,196       ,236       ,86        ,59        ,138
113       ,אדירים                   ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,327       ,28        ,72        ,108       ,49        ,30        ,40
115       ,חופית                    ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,984       ,50        ,196       ,285       ,160       ,88        ,205
122       ,רמת ישי                  ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,7940      ,607       ,1605      ,2788      ,988       ,811       ,1141
126       ,שריד                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1146      ,68        ,269       ,327       ,141       ,77        ,264
127       ,רמת רחל                  ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,553       ,58        ,113       ,195       ,63        ,54        ,70
128       ,גת רימון                 ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,287       ,30        ,52        ,95        ,33        ,22        ,55
130       ,משמר העמק                ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1426      ,115       ,210       ,502       ,192       ,126       ,281
132       ,כפר ברוך                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,639       ,79        ,189       ,202       ,70        ,23        ,76
133       ,גבת                      ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1013      ,94        ,221       ,297       ,127       ,69        ,205
134       ,יפעת                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1249      ,87        ,306       ,373       ,189       ,75        ,219
135       ,רמת דוד                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,641       ,66        ,166       ,207       ,74        ,31        ,97
139       ,עין שמר                  ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,801       ,47        ,127       ,282       ,87        ,59        ,199
140       ,כפר יהושע                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1232      ,82        ,321       ,384       ,193       ,102       ,150
141       ,ברק                      ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,404       ,33        ,65        ,149       ,44        ,39        ,74
142       ,שדה יעקב                 ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1088      ,119       ,336       ,348       ,116       ,57        ,112
143       ,בית זרע                  ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,779       ,46        ,113       ,296       ,77        ,62        ,185
144       ,גן שלמה                  ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,617       ,69        ,138       ,189       ,74        ,47        ,100
145       ,גדיש                     ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,371       ,28        ,63        ,124       ,54        ,50        ,52
146       ,דבורה                    ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,319       ,25        ,68        ,93        ,39        ,30        ,64
147       ,גבעת ברנר                ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,2796      ,194       ,622       ,839       ,460       ,196       ,485
154       ,תל מונד                  ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,14050     ,944       ,3611      ,4672      ,2376      ,1175      ,1272
155       ,באר טוביה                ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,1269      ,97        ,362       ,401       ,175       ,78        ,156
156       ,עיינות                   ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,154       ,19        ,23        ,88        ,12        ,4         ,8
157       ,עין ורד                  ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1644      ,106       ,443       ,493       ,279       ,115       ,208
158       ,נען                      ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1923      ,187       ,374       ,696       ,227       ,92        ,347
159       ,בית חנן                  ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,694       ,46        ,127       ,224       ,94        ,71        ,132
160       ,חולדה                    ,43        ,רמלה                     ,43        ,רמלה                     ,30        ,גזר                      ,1179      ,132       ,384       ,340       ,157       ,53        ,113
162       ,חירות                    ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1386      ,82        ,380       ,397       ,242       ,139       ,146
163       ,תימורים                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,846       ,59        ,148       ,295       ,127       ,103       ,114
164       ,מלאה                     ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,401       ,35        ,89        ,143       ,51        ,35        ,48
165       ,ניר יפה                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,692       ,49        ,226       ,227       ,70        ,31        ,89
166       ,גן יבנה                  ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,24371     ,1700      ,6172      ,8709      ,3696      ,2105      ,1989
167       ,עין החורש                ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,947       ,77        ,165       ,301       ,108       ,69        ,227
168       ,כפר יונה                 ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,24861     ,2327      ,5842      ,9082      ,3045      ,1952      ,2613
170       ,כפר יעבץ                 ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,742       ,69        ,193       ,249       ,88        ,67        ,76
171       ,פרדסיה                   ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,6950      ,550       ,1290      ,2576      ,787       ,823       ,924
173       ,גבעת חיים )מאוחד(        ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1202      ,78        ,225       ,385       ,163       ,77        ,274
174       ,נטעים                    ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,805       ,50        ,188       ,261       ,146       ,70        ,90
175       ,אביחיל                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1405      ,97        ,313       ,437       ,168       ,138       ,252
176       ,אפיקים                   ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,1413      ,76        ,227       ,461       ,184       ,110       ,355
177       ,כפר ביל"ו                ,44        ,רחובות                   ,44        ,רחובות                   ,30        ,גזר                      ,1188      ,93        ,226       ,394       ,153       ,135       ,187
178       ,רמת יוחנן                ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,1193      ,119       ,202       ,456       ,132       ,94        ,190
182       ,אבן יהודה                ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,14680     ,995       ,3674      ,4591      ,2132      ,1151      ,2137
183       ,ירקונה                   ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,399       ,14        ,77        ,124       ,80        ,37        ,67
184       ,רמת הכובש                ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1042      ,88        ,229       ,310       ,129       ,49        ,237
186       ,נעורים                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,242       ,19        ,27        ,112       ,27        ,26        ,31
187       ,כפר הס                   ,41        ,השרון                    ,41        ,נתניה                    ,18        ,לב השרון                 ,1502      ,107       ,343       ,481       ,273       ,134       ,164
188       ,אשדות יעקב  )מאוחד(      ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,715       ,44        ,138       ,240       ,86        ,64        ,143
189       ,כפר פינס                 ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,662       ,93        ,191       ,209       ,49        ,32        ,88
190       ,כפר ויתקין               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1951      ,116       ,454       ,614       ,331       ,186       ,250
191       ,הדר עם                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,817       ,64        ,229       ,233       ,137       ,56        ,98
192       ,כפר החורש                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,730       ,86        ,151       ,244       ,67        ,66        ,116
193       ,כפר חיים                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,621       ,48        ,143       ,185       ,81        ,55        ,109
194       ,משמר השרון               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,799       ,79        ,161       ,265       ,81        ,67        ,146
195       ,קדימה-צורן               ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,22958     ,1812      ,5626      ,7810      ,3440      ,2266      ,2004
196       ,גיבתון                   ,44        ,רחובות                   ,44        ,רחובות                   ,28        ,ברנר                     ,388       ,40        ,78        ,115       ,50        ,22        ,83
197       ,מעברות                   ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,1068      ,98        ,188       ,327       ,115       ,89        ,251
198       ,צופית                    ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1095      ,48        ,270       ,303       ,217       ,89        ,168
199       ,אשדות יעקב  )איחוד(      ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,1006      ,76        ,272       ,333       ,118       ,69        ,138
200       ,בית ינאי                 ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,413       ,23        ,80        ,115       ,67        ,43        ,85
202       ,בית עובד                 ,44        ,רחובות                   ,44        ,רחובות                   ,27        ,גן רווה                  ,339       ,16        ,75        ,89        ,54        ,25        ,80
204       ,אלישיב                   ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,703       ,49        ,182       ,241       ,76        ,50        ,105
205       ,חגלה                     ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,804       ,47        ,250       ,212       ,168       ,47        ,80
206       ,רמות השבים               ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,1624      ,117       ,342       ,519       ,222       ,162       ,262
207       ,גבעת ח"ן                 ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,415       ,35        ,81        ,129       ,45        ,37        ,88
208       ,מוצא עילית               ,11        ,ירושלים                  ,11        ,ירושלים                  ,26        ,מטה יהודה                ,1197      ,80        ,196       ,335       ,158       ,128       ,300
212       ,בית צבי                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,124       ,24        ,31        ,60        ,2         ,3         ,4
213       ,משמרות                   ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,1076      ,92        ,368       ,324       ,161       ,41        ,90
217       ,כפר הרא"ה                ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,1270      ,141       ,389       ,387       ,127       ,67        ,159
218       ,גני עם                   ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,261       ,13        ,36        ,73        ,41        ,32        ,66
219       ,חיבת ציון                ,41        ,השרון                    ,32        ,חדרה                     ,16        ,עמק חפר                  ,738       ,93        ,180       ,244       ,73        ,59        ,89
220       ,כפר ביאליק               ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,668       ,62        ,140       ,217       ,74        ,45        ,130
223       ,עין עירון                ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,566       ,50        ,117       ,199       ,77        ,53        ,70
224       ,שושנת העמקים             ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,597       ,53        ,92        ,214       ,73        ,54        ,111
225       ,גן השומרון               ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,884       ,71        ,179       ,296       ,115       ,89        ,134
229       ,גני תקווה                ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,0         ,                         ,21952     ,2051      ,4973      ,6939      ,2745      ,1717      ,3527
230       ,מעש                      ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,961       ,98        ,178       ,294       ,119       ,73        ,199
232       ,שפיים                    ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1464      ,130       ,302       ,490       ,193       ,110       ,239
233       ,כפר ידידיה               ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,721       ,45        ,189       ,205       ,125       ,38        ,119
234       ,ביצרון                   ,61        ,אשקלון                   ,61        ,אשקלון                   ,33        ,באר טוביה                ,1245      ,104       ,297       ,402       ,173       ,93        ,176
235       ,חבצלת השרון              ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,479       ,25        ,88        ,133       ,68        ,43        ,122
237       ,שער העמקים               ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,760       ,73        ,127       ,230       ,92        ,62        ,176
239       ,גן חיים                  ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,734       ,52        ,143       ,238       ,102       ,91        ,108
240       ,יקנעם עילית              ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,25783     ,2092      ,5408      ,9326      ,3675      ,2155      ,3127
241       ,יקנעם )מושבה(            ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1433      ,125       ,298       ,470       ,161       ,103       ,276
242       ,בית השיטה                ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1534      ,103       ,330       ,478       ,206       ,104       ,313
246       ,נתיבות                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,40601     ,5908      ,10810     ,15339     ,3259      ,2418      ,2867
247       ,רשפון                    ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1311      ,100       ,310       ,421       ,201       ,117       ,162
248       ,בית שערים                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,736       ,66        ,181       ,224       ,101       ,42        ,122
249       ,כפר סירקין               ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,1477      ,119       ,383       ,447       ,223       ,104       ,201
250       ,הזורע                    ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1275      ,79        ,179       ,424       ,144       ,104       ,345
252       ,ביתן אהרן                ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,272       ,14        ,38        ,59        ,18        ,13        ,130
253       ,חולתה                    ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,693       ,73        ,157       ,247       ,65        ,43        ,108
254       ,כפר המכבי                ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,435       ,36        ,83        ,139       ,48        ,36        ,93
255       ,כפר חיטים                ,22        ,כנרת                     ,22        ,טבריה                    ,3         ,הגליל התחתון             ,722       ,35        ,182       ,249       ,105       ,73        ,78
256       ,ניר דוד )תל עמל(         ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,891       ,71        ,189       ,289       ,103       ,73        ,166
257       ,נופך                     ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,25        ,חבל מודיעין              ,577       ,83        ,103       ,222       ,52        ,58        ,59
259       ,שדה נחום                 ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,868       ,66        ,242       ,298       ,147       ,46        ,69
262       ,גינוסר                   ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,725       ,47        ,121       ,227       ,79        ,52        ,199
263       ,מסדה                     ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,346       ,28        ,51        ,132       ,38        ,28        ,69
264       ,שער הגולן                ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,622       ,39        ,94        ,185       ,76        ,50        ,178
265       ,בית יוסף                 ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,488       ,43        ,79        ,187       ,57        ,59        ,63
267       ,כפר שמריהו               ,51        ,תל אביב                  ,57        ,הרצליה                   ,0         ,                         ,2516      ,119       ,446       ,705       ,325       ,287       ,634
268       ,טירת צבי                 ,23        ,עפולה                    ,23        ,עפולה                    ,7         ,עמק המעיינות             ,908       ,97        ,294       ,300       ,57        ,33        ,127
269       ,מולדת                    ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1215      ,83        ,315       ,394       ,203       ,79        ,141
